feature,train,train_10_fold,combined,combined_10_fold,mean
sttl,16.255094488890048,17.387081229137028,12.19522269586572,13.627805917141833,14.866301082758659
ct_state_ttl,8.961908525142691,8.853936199521293,7.887640207925106,7.346593502615326,8.262519608801103
dttl,7.311621188089331,5.026959584847973,3.9987238449229454,4.346552805475874,5.170964355834031
dmean,4.991935217208657,4.970893345615741,3.74881775974914,3.759340610942034,4.367746733378893
rate,4.253580994107926,4.470504961283024,4.683988553318268,4.706418329653504,4.52862320959068
dload,4.567463704300816,4.088456699622321,3.752310464944876,3.620696906934044,4.007231943950514
tcprtt,3.202787437076695,3.9177612734113105,3.4834114596849015,3.659160798416625,3.565780242147383
ackdat,1.805762173984871,3.7035815301951684,3.014353585199177,2.891019252697279,2.8536791355191244
sload,3.310174985064132,3.4287556527556564,4.25065386929548,4.070798245685772,3.76509568820026
sbytes,3.0677246980137123,3.272822149758856,4.640932218747212,4.747160163500714,3.9321598075051236
dbytes,3.18363016060537,3.22326431247017,3.6286391535042957,3.608495850954522,3.4110073693835896
ct_srv_dst,3.435445857202863,3.0856260195943985,4.004455022803114,4.021633461566502,3.6367900902917194
sinpkt,2.8798700324601394,2.80454444172535,2.3873297151024016,2.5369489367547375,2.652173281510657
dinpkt,2.2846520402713364,2.5996311036068436,3.5083577933956063,2.631405167157718,2.756011526107876
smean,2.706846548250474,2.494954199621508,3.672817130664565,3.534044480322692,3.1021655897148097
dpkts,2.3224100295464494,2.4113576711277727,2.6517251144873906,2.7223433038782012,2.5269590297599533
dur,2.8625864720394465,2.3680092309496246,2.218814476777122,2.2401685748539886,2.422394688655045
ct_dst_src_ltm,2.145277253660901,2.3046185599536657,3.7380203554673503,3.7703791937190707,2.989573840700247
synack,2.6543143566775997,2.2760588709776495,2.66628784794505,2.2762249814534483,2.468221514263437
ct_srv_src,2.27930119995808,2.199465122473983,2.5984680742511213,2.5686319331254435,2.411466582452157
sjit,2.0277715583237335,1.9130660760021827,1.937220330436762,1.9089959865389736,1.9467634878254132
state,1.8591435753966556,1.8078472321674497,1.9126003642807712,1.9255784659130148,1.8762924094394728
djit,1.4709708113260394,1.5495977296995858,1.2865651981842583,1.436953926488167,1.4360219164245125
proto,1.3879481934949458,1.335600419490723,1.410764128942674,1.2662061900890198,1.3501297330043405
ct_dst_ltm,0.7757124387715142,0.8783704855830684,0.8865185304998114,0.932468290998956,0.8682674364633375
sloss,0.7715809938455147,0.8274477268664714,1.1742483099948755,1.1578503622494376,0.9827818482390749
ct_src_dport_ltm,0.7642101055512845,0.7870197740145026,0.856141622181123,0.8066832744235961,0.8035136940426266
ct_src_ltm,0.9419656667515538,0.7743520134688431,0.8033528369576411,0.8475087031921659,0.841794805092551
stcpb,0.7602875359992646,0.746174087366736,0.9023544473601262,0.9722840711148031,0.8452750354602324
dtcpb,0.7774476415699387,0.7270176746580223,0.818977424116615,0.8199571387918926,0.7858499697841171
spkts,0.9049584416112566,0.7093928595841416,0.7881869795357299,0.9014702049221637,0.8260021214133229
swin,0.5698936526729043,0.6382481104285033,1.0627465354410937,0.9414895420405845,0.8030944601457715
dloss,0.5812025486818265,0.5861092268952104,0.6241102571122586,0.6190521233145534,0.6026185390009622
ct_dst_sport_ltm,0.4875999830899019,0.4801908829279606,1.0121356270960071,0.9331714046990852,0.7282744744532387
service,0.45699503511452577,0.4526772679002422,0.8034719079447713,0.7573730626999647,0.617629318414876
is_sm_ips_ports,0.4688463387901267,0.3988579814071292,0.28274809004771284,0.32682324576474514,0.36931891400242844
ct_flw_http_mthd,0.17037050204213613,0.16321964221441995,0.19346167161797964,0.192474825575691,0.1798816603625567
response_body_len,0.15429736699896174,0.14923178704104398,0.3007526521714327,0.3563229549572467,0.24015119029217125
trans_depth,0.09277643279047709,0.13000588133987387,0.1692893709911743,0.1603706227289568,0.13811057696262052
dwin,0.07578386889926983,0.036937373951191024,0.011820827380902548,0.02912109910735552,0.03841579233467973
ct_ftp_cmd,0.007455456203173427,0.010876323620873539,0.017020865124889675,0.01099251958473494,0.011586291133417895
is_ftp_login,0.010394489523449178,0.009477284722490991,0.014542678530548176,0.011029567955562413,0.011361005183012689
